id,x,y,z,tonn,blockvalue,destination,Au (oz/ton),Ag (oz/ton),Cu %
0,0,0,0,0,0,2,1,1,1
tonn
3
Cu %,copper,%
Au (oz/ton),gold,oz/ton
Ag (oz/ton),silver,oz/ton
7986,1,23,46,3120,-4087,1,0,1.108,0
8008,0,24,46,6240,-8174,1,0.0,1.108,0.0
8999,0,26,44,6240,-8174,1,0.0,1.108,0.0
8049,0,26,46,6240,-8174,1,0.0,1.108,0.0
10021,0,28,44,14196,-21698,2,0.0,1.1080000000000003,0.0
8081,0,28,46,12480,-16348,1,0.0,1.108,0.0
10068,0,30,44,14196,-21698,1,0.0,1.1080000000000003,0.0
8115,0,30,46,13338,-18784,1,0.0,1.108,0.0
10117,0,32,44,15912,-26570,2,0.0,1.108,0.0
8145,0,32,46,14196,-21220,2,0.0,1.1080000000000003,0.0
10162,0,34,44,15912,-26570,2,0.0,1.108,0.0
8169,0,34,46,15054,-23656,2,0.0,1.108,0.0
10205,0,36,44,11934,-19808,2,0.0,1.1080000000000003,0.0
8192,0,36,46,15912,-26092,2,0.0,1.108,0.0
8213,1,38,46,3978,-6523,2,0,1.108,0
7736,2,16,46,6240,-8174,1,0.0,1.108,0.0
7833,2,18,46,6240,-8174,1,0.0,1.108,0.0
7912,2,20,46,6240,-8174,1,0.0,1.108,0.0
8910,2,22,44,15600,-20435,1,0.0,1.108,0.0
7964,2,22,46,18720,-24522,1,0.0,1.108,0.0
10899,2,24,42,9360,-12261,1,0.0,1.108,0.0
9914,2,24,44,24960,-32696,1,0.0,1.108,0.0
8009,2,24,46,21840,-28609,1,0.0,1.108,0.0
10985,2,26,42,15600,-20435,1,0.0,1.108,0.0
9971,2,26,44,24960,-32696,1,0.0,1.108,0.0
8050,2,26,46,21840,-28609,1,0.0,1.108,0.0
14062,2,28,40,15912,-27604,2,0.0,1.108,0.0
12036,2,28,42,28392,-43676,1,0.0,1.1079999999999999,0.0
10022,2,28,44,24960,-32696,1,0.0,1.108,0.0
8083,2,28,46,15600,-20435,1,0.0,1.108,0.0
14115,2,30,40,15912,-27604,2,0.0,1.108,0.0
12089,2,30,42,30108,-49146,2,0.0,1.108,0.0
10069,2,30,44,24960,-32696,1,0.0,1.108,0.0
8117,2,30,46,12480,-16348,1,0.0,1.108,0.0
14164,2,32,40,15912,-27604,2,0.0,1.108,0.0
12138,2,32,42,30966,-51861,2,0.0,1.108,0.0
10118,2,32,44,24960,-32696,1,0.0,1.108,0.0
8147,2,32,46,12480,-16348,1,0.0,1.108,0.0
14210,2,34,40,15912,-27604,2,0.0,1.108,0.0
12184,2,34,42,31824,-54576,2,0.0,1.108,0.0
10163,2,34,44,28392,-43157,1,0.0,1.1079999999999999,0.0
8171,2,34,46,12480,-16348,1,0.0,1.108,0.0
13230,3,36,41,3978,-6881,2,0,1.108,0
12228,2,36,42,23868,-40932,2,0.0,1.108,0.0
10206,2,36,44,31824,-53140,2,0.0,1.108,0.0
8194,2,36,46,15054,-23656,2,0.0,1.108,0.0
11242,3,38,43,3978,-6802,2,0,1.108,0
10241,2,38,44,23868,-39855,2,0.0,1.108,0.0
8214,2,38,46,15912,-26092,2,0.0,1.108,0.0
10263,2,40,44,7956,-13285,2,0.0,1.108,0.0
8228,2,40,46,11934,-19569,2,0.0,1.1080000000000003,0.0
8236,3,42,46,3978,-6523,2,0,1.108,0
8430,4,12,44,9360,-12261,1,0.0,1.108,0.0
7608,4,13,46,3120,-4087,1,0,1.108,0
8569,4,14,44,15600,-20435,1,0.0,1.108,0.0
7649,4,14,46,6240,-8174,1,0.0,1.108,0.0
10575,4,16,42,6240,-8174,1,0.0,1.108,0.0
8617,4,16,44,21840,-28609,1,0.0,1.108,0.0
7737,4,16,46,12480,-16348,1,0.0,1.108,0.0
11681,4,18,42,12480,-16348,1,0.0,1.108,0.0
9683,4,18,44,24960,-32696,1,0.0,1.108,0.0
7834,4,18,46,15600,-20435,1,0.0,1.108,0.0
